Place,Bib,Name,Time,State,Country,Citizenship
1,5,Stanley Biwott,2:10:34,,Kenya,KEN
2,6,Geoffery Kamworor,2:10:48,-,Kenya,KEN
3,2,Lelisa Desisa,2:12:10,,Ethiopia,ETH
4,1,Wilson Kipsang,2:12:45,,Kenya,KEN
5,7,Yemane Tsegay,2:13:24,,Ethiopia,ETH
6,11,Yuki Kawauchi,2:13:29,,Japan,JPN
7,4,Meb Keflezighi,2:13:32,CA,United States,USA
8,16,Craig Leon,2:15:16,OR,United States,USA
9,259,Birhanu Dare Kemal,2:15:40,NY,United States,ETH
10,12,Kevin Chelimo,2:15:49,OR,United States,KEN
11,14,Andrea Lalli,2:17:12,-,Italy,ITA
12,9,Juan Luis Barrios,2:18:06,,Mexico,MEX
13,261,Diriba Degefa Yigezu,2:19:21,NY,United States,ETH
14,249,Negash Abebe Duki,2:20:30,NY,United States,ETH
15,258,Timothy Chichester,2:21:25,NY,United States,USA
16,10,Nicholas Arciniaga,2:22:07,AZ,United States,USA
17,1772,Khalid En Guady,2:23:13,BS,Morocco,MAR
18,17,Carmine Buccilli,2:23:48,,Italy,ITA
19,269,Abu Kebede Diriba,2:24:30,NY,United States,ETH
20,270,Kojo Kyereme,2:26:17,SURREY,United Kingdom,GBR
21,1120,Andre Pollmaecher,2:26:35,NRW,Germany,USA
22,1126,Alessandro Claut,2:28:22,Italy,Italy,ITA
23,23,Matt Flaherty,2:29:01,IN,United States,USA
24,46,Thierry Guibault,2:29:05,Picardie,France,FRA
25,266,Grzegorz Gronostaj,2:29:09,Dolny Slask,Poland,POL
26,284,Paul Piper,2:29:24,Middlesex,United Kingdom,GBR
27,21,Will Nation,2:30:18,TX,United States,USA
28,1689,Jordan Tropf,2:30:23,MD,United States,USA
29,275,Tom McGrath,2:30:54,AB,Canada,CAN
30,283,Oz Pearlman,2:31:04,NY,United States,USA
31,1303,Kevin Hoyt,2:31:12,CT,United States,USA
